discharge,datetime
392.9797095735501,2011-02-28
389.9210328407018,2011-03-01
389.9210328407018,2011-03-02
386.87288650732467,2011-03-03
383.83528042865305,2011-03-04
380.8082245126791,2011-03-05
377.79172872066977,2011-03-06
377.79172872066977,2011-03-07
380.8082245126791,2011-03-08
380.8082245126791,2011-03-09
383.83528042865305,2011-03-10
377.79172872066977,2011-03-11
377.79172872066977,2011-03-12
377.79172872066977,2011-03-13
374.78580306769203,2011-03-14
371.7904576231454,2011-03-15
368.8057025113022,2011-03-16
365.8315479118557,2011-03-17
365.8315479118557,2011-03-18
362.86800406047536,2011-03-19
362.86800406047536,2011-03-20
365.8315479118557,2011-03-21
371.7904576231454,2011-03-22
371.7904576231454,2011-03-23
371.7904576231454,2011-03-24
371.7904576231454,2011-03-25
374.78580306769203,2011-03-26
371.7904576231454,2011-03-27
368.8057025113022,2011-03-28
368.8057025113022,2011-03-29
377.79172872066977,2011-03-30
386.87288650732467,2011-03-31
380.8082245126791,2011-04-01
383.83528042865305,2011-04-02
396.04890690288295,2011-04-03
392.9797095735501,2011-04-04
386.87288650732467,2011-04-05
377.79172872066977,2011-04-06
371.7904576231454,2011-04-07
368.8057025113022,2011-04-08
362.86800406047536,2011-04-09
362.86800406047536,2011-04-10
365.8315479118557,2011-04-11
362.86800406047536,2011-04-12
362.86800406047536,2011-04-13
359.9150812493716,2011-04-14
356.9727898278684,2011-04-15
354.04114020298374,2011-04-16
354.04114020298374,2011-04-17
354.04114020298374,2011-04-18
359.9150812493716,2011-04-19
380.8082245126791,2011-04-20
411.5523629867595,2011-04-21
417.8270522015271,2011-04-22
417.8270522015271,2011-04-23
408.4307079259882,2011-04-24
399.1286150774569,2011-04-25
405.3195252131075,2011-04-26
417.8270522015271,2011-04-27
417.8270522015271,2011-04-28
420.9800675020138,2011-04-29
420.9800675020138,2011-04-30
466.2137471774481,2011-05-01
462.9154771465424,2011-05-02
436.9014781660422,2011-05-03
411.5523629867595,2011-05-04
424.1435174424645,2011-05-05
433.6963822678354,2011-05-06
420.9800675020138,2011-05-07
402.2188243972771,2011-05-08
389.9210328407018,2011-05-09
383.83528042865305,2011-05-10
392.9797095735501,2011-05-11
417.8270522015271,2011-05-12
424.1435174424645,2011-05-13
430.5016840620468,2011-05-14
414.6844808955926,2011-05-15
420.9800675020138,2011-05-16
453.0826053764428,2011-05-17
503.1731862307917,2011-05-18
510.0262080061856,2011-05-19
